nome_file;applicazione;SistemaOperativo;serial;encoding;preskip;originalSampleRate;PacketDuration;PacketDuration2;PacketDuration3;PageDuration;PageDuration2;PageDuration3;TotalDataLength;AverageBitrate
4_6003693178283098206.ogg;T;PC;53cf5ae6;Lavf57.56.101;312;48000;20.0;20.0;20.0;1000.0;896.7;380.0;44151;65.9
4_6006105858981756937.ogg;T;WP;4336bebe;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;9590;20.92
audio_2017-04-09_19-01-57.ogg;T;A;4336bebe;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;9590;20.92
AUD-20170409-WA0002.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;1920.0;1776.0;1420.0;20488;18.46
AUD-20170409-WA0001.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;1920.0;1776.0;1420.0;20488;18.46
AUD-20170409-WA0004.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;2020.0;1573.3;800.0;10319;17.5
AUD-20170409-WA0005.waptt;W;PC;26fc5a07;Recorder;3840;48000;20.0;20.0;20.0;3400.0;2850.0;2300.0;11130;15.84
AUD-20170409-WA0001.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2080.0;1753.3;1400.0;11799;17.95
audio_2017-04-02_22-02-40.ogg;T;A;333d121d;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;8502;20.41
PTT-20170401-WA0002.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;2100.0;1430.0;60.0;12975;18.15
audio_2017-03-17_16-26-20.ogg;T;PC;7197de95;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;24133;19.8
PTT-20170409-WA0000.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1860.0;1506.7;860.0;10575;18.73
PTT-20170409-WA0001.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1880.0;1365.0;20.0;12875;18.87
AUD-20170409-WA0001.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1860.0;1506.7;860.0;10575;18.73
AUD-20170409-WA0002.waptt;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1880.0;1365.0;20.0;12875;18.87
PTT-20170401-WA0013.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1840.0;1506.7;880.0;10685;18.92
PTT-20170317-WA0001.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2020.0;1393.3;300.0;9316;17.84
PTT-20170504-WA0018.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1860.0;1698.9;540.0;73489;19.23
PTT-20170504-WA0019.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1840.0;1380.0;140.0;13117;19.02
PTT-20170504-WA0017.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1920.0;1732.0;480.0;145399;19.19
PTT-20170504-WA0016.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2280.0;2028.0;360.0;60391;15.88
PTT-20170504-WA0014.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2200.0;1866.7;1380.0;11539;16.49
PTT-20170504-WA0015.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2260.0;2153.6;1700.0;118314;15.7
audio_2017-05-06_21-47-52.ogg;T;WP;00005af1;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;72783;19.34
audio_2017-05-07_17-54-03.ogg;T;A;4bc4b37a;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;74235;19.24
audio_2017-05-06_21-48-04.ogg;T;WP;2,60E+10;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;14882;20.69
audio_2017-05-07_17-53-47.ogg;T;A;7784e778;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;14067;20.14
audio_2017-05-06_21-47-33.ogg;T;WP;00005f90;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;127784;19.19
audio_2017-05-07_17-54-15.ogg;T;A;6c61c851;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;145067;19.16
audio_2017-05-06_21-47-04.ogg;T;WP;4823;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;59861;15.9
audio_2017-05-07_17-53-18.ogg;T;A;7840e2c8;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;63668;16.67
audio_2017-05-06_21-46-15.ogg;T;WP;29;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;10449;17.01
audio_2017-05-07_17-52-38.ogg;T;A;67ef2996;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;12243;17.53
audio_2017-05-06_21-47-17.ogg;T;WP;000072ae;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;111790;17.83
audio_2017-05-07_17-53-31.ogg;T;A;0f53fbd9;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;126191;16.72
PTT-20170501-WA0011.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;2000.0;1790.6;340.0;68707;18.06
